'ID', 'name', 'data type', 'description', 'update'
1,ERC000012,GSC MIxS air,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
2,ERC000014,GSC MIxS human associated,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
3,ERC000016,GSC MIxS human oral,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
4,ERC000018,GSC MIxS human vaginal,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
5,ERC000020,GSC MIxS plant associated,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
6,ERC000022,GSC MIxS soil,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
7,ERC000024,GSC MIxS water,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
8,ERC000027,ENA Micro B3,samples,Minimum information about a Micro B3 sample. A checklist for reporting metadata of marine microbial samples associated with genomics data. NOTE: Non-genomics data
9,ERC000030,ENA Tara Oceans,samples,Minimum information about a Tara Oceans sample. A checklist for reporting metadata of oceanic plankton samples associated with genomics data from the Tara Oceans Expedition.
10,ERC000032,ENA Influenza virus reporting standard checklist,samples,Minimum information about an Influenza virus sample. A checklist for reporting metadata of Influenza virus samples associated with genomic data. This minimum metadata standard supports submission of avian
11,ERC000034,ENA mutagenesis by carcinogen treatment checklist,samples,Minimum Information required for reporting samples associated with genomic data
12,ERC000035,Crop Plant sample enhanced annotation checklist,samples,The ENA Crop sample enhanced checklist has been developed in collaboration with a number of EMBL-EBI teams to capture enriched annotation of published crop plant samples that lack sufficient reported metadata and are typically associated with systematic transcriptomic realignment-based analyses.
13,ERC000037,Plant Sample Checklist,samples,ENA implementation of plant specimen contextual information associated with molecular data. The checklist has been developed in collaboration with the NCBI-GenBank and iPlant data resources under the umbrella of the Genomic Standards Consortium.
14,ERC000039,ENA parasite sample checklist,samples,Minimum information about parasite samples. A checklist for reporting metadata of parasite samples associated with molecular data. This standard was developed by the COMPARE platform and can be used for submission of sample metadata derived from protozoan parasites (e.g. Cryptosporidium) and also multicellular eukaryotic parasites (e.g. Platyhelminthes and Nematoda).
15,ERC000041,ENA Global Microbial Identifier Proficiency Test (GMI PT) checklist,samples,Minimum information to standardise metadata related to samples used in GMI PT (Global Microbial Identifier Proficiency Test). A checklist for reporting metadata of GMI PT samples associated with molecular data. This minimum metadata standard was developed by the COMPARE platform and can be used for submission of sample metadata derived from Campylobacter coli
16,ERC000042,ENA RNA-Seq Checklist,samples,Minimum information to standardise metadata related to samples used in RNA seq experiments. Useful for downstream services to select RNA-Seq read data for appropriate alignment processing and display. Also useful for external users to select RNA-Seq read files
17,ERC000044,COMPARE-ECDC-EFSA pilot human-associated reporting standard,samples,A checklist for reporting metadata of human-associated pathogen samples for the COMPARE-ECDC-EFSA reporting system.
18,cramFileSequencingRuns,Sequencing Run - CRAM file,sequencingRuns,N/A
19,defaultEnaSequencingExperiments,Sequencing Experiments,sequencingExperiments,N/A
20,pairedFastqFileSequencingRuns,Sequencing Run - Paired FASTQ files,sequencingRuns,N/A
21,singleFastqFileSequencingRuns,Sequencing Run - Single FASTQ file,sequencingRuns,N/A
22,ERC000013,GSC MIxS host associated,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
23,ERC000015,GSC MIxS human gut,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
24,ERC000017,GSC MIxS human skin,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
25,ERC000019,GSC MIxS microbial mat biolfilm,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
26,ERC000021,GSC MIxS sediment,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
27,ERC000023,GSC MIxS wastewater sludge,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
28,ERC000025,GSC MIxS miscellaneous natural or artificial environment,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
29,ERC000028,ENA prokaryotic pathogen minimal sample checklist,samples,Minimum information required for a prokaryotic pathogen sample
30,ERC000029,ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1,samples,Minimum Data for Matching (MDM). A checklist for reporting metadata of pathogen samples for the Global Microbial Identifier (GMI) reporting system. More about GMI can be found here http://www.g-m-i.org/
31,ERC000031,GSC MIxS built environment,samples,Genomic Standards Consortium package extension for reporting of measurements and observations obtained from the environment where the sample was obtained. By choosing the environmental package
32,ERC000033,ENA virus pathogen reporting standard checklist,samples,Minimum information about a virus pathogen. A checklist for reporting metadata of virus pathogen samples associated with genomic data. This minimum metadata standard was developed by the COMPARE platform for submission of virus surveillance and outbreak data (such as Ebola) as well as virus isolate information.
33,ERC000036,ENA sewage checklist,samples,Minimum information about sewage samples. A checklist for reporting of sewage surveillance samples associated with sequence data from metagenomic sequencing projects. This minimum metadata standard was developed by the COMPARE platform.
34,ERC000038,ENA Shellfish Checklist,samples,Shellfish contextual information associated with molecular data. The checklist has been developed in collaboration with EMBRIC Project partners.
35,ERC000040,UniEuk_EukBank,samples,Minimum information required for reporting samples associated with the UniEuk EukBank initiative. This checklist aims to capture contextual metadata associated with V4 18S SSU rRNA molecular data.
36,ERC000043,ENA Marine Microalgae Checklist,samples,Marine microalgae contextual information. The checklist has been developed in collaboration with EMBRIC Project partners and is suitable for reporting metadata related to environmental samples and those in culture collections.
37,ERC000045,COMPARE-ECDC-EFSA pilot food-associated reporting standard,samples,A checklist for reporting metadata of food-borne pathogen samples for the COMPARE-ECDC-EFSA reporting system.
38,bamFileSequencingRuns,Sequencing Run - BAM file,sequencingRuns,N/A
39,enaStudies,ENA Studies,enaStudies,checklist for ENA studies
40,exampleSamplesChecklist,Sample Checklist,samples,data requirement for samples
41,ERC000011,ENA default sample checklist,samples,Minimum information required for the sample
42,ERC000051,PDX Checklist,samples,Minimum information required for reporting samples associated with patient-derived xenograft (PDX) models or patient samples
43,ERC000052,HoloFood Checklist,samples,Minimum information required for reporting HoloFood samples. HoloFood is a 'hologenomic' approach that will improve the efficiency of food production systems by understanding the biomolecular and physiological processes affected by incorporating feed additives and novel sustainable feeds in farmed animals (https://www.holofood.eu/).
